"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
126819;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Trachinotus"
129213;"Animalia";"Annelida";"Polychaeta";NA;"Capitellidae";"Dasybranchus"
280843;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Dactyloscopidae";"Gillellus"
104483;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Candaciidae";"Candacia"
128484;"Animalia";"Cnidaria";"Octocorallia";"Scleralcyonacea";"Pennatulidae";NA
269249;"Animalia";"Chordata";"Teleostei";"Gobiiformes";"Gobiidae";"Gobulus"
159376;"Animalia";"Chordata";"Teleostei";"Holocentriformes";"Holocentridae";"Holocentrus"
275797;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Labridae";"Halichoeres"
138013;"Animalia";"Mollusca";"Gastropoda";"Lepetellida";"Fissurellidae";"Fissurella"
346221;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Paracalanidae";"Calocalanus"
139034;"Animalia";"Mollusca";"Gastropoda";"Pteropoda";"Creseidae";"Creseis"
144164;"Plantae";"Rhodophyta";"Florideophyceae";"Gigartinales";"Phyllophoraceae";"Ahnfeltiopsis"
137781;"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Cadlinidae";"Cadlina"
151416;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Dactyloscopidae";NA
204256;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Pomacentrus"
